,Unnamed: 0,EstNumber,EstID,Parent Corporation,Establishment Name,State,Size,Animals Processed,"Processed
Volume
Category","Slaughter
Volume
Category",Full Address,latitude,longitude,Sales Volume (Location)
3,74,P7342 + V7342,4516,Cargill,Wayne Farms LLC,Alabama,Large,Chicken,5.0,5.0,"808 Ross Clark Circle NE, Dothan, AL 36303",31.2257543,-85.3620677,
4,75,P1235,4509,Cargill,Wayne Farms LLC,Alabama,Large,Chicken,5.0,5.0,"254 Ipsco Road, Decatur, AL 35601",34.6076012,-87.04259549999999,8474.0
8,79,P6666,4515,Koch Foods,"Koch Foods of Gadsden, LLC",Alabama,Large,Chicken,5.0,5.0,"501 Paden Road, Gadsden, AL 35903",33.970439,-85.9724391,
10,81,P6529,4595,Koch Foods,"Koch Foods of  Montgomery, AL",Alabama,Large,Chicken,5.0,5.0,"3500 West Blvd., Montgomery, AL 36108",32.3284278,-86.3547844,
12,83,P6504,4496,Peco Foods,"Peco Foods, Inc.",Alabama,Large,Chicken,5.0,5.0,"3701 Reese Phifer Avenue, Tuscaloosa, AL 35401",33.1778663,-87.56144660000001,
18,90,P46091,126027,George's,"Ozark Mountain Poultry, Inc.",Arkansas,Large,Chicken,5.0,5.0,"1810 St. Louis Street, Batesville, AR 72501",35.7652697,-91.641319,
21,93,P45483,127044,Peco Foods,"Peco Foods, Inc.",Arkansas,Large,Chicken,4.0,5.0,"4114 Highway 67 South, Pocahontas, AR 72455",36.2137042,-90.9583373,
23,95,P1949,6164265,Simmons Foods,"Simmons Prepared Foods, Inc.",Arkansas,Large,Chicken,5.0,5.0,"9802 S. Hwy 59, Gentry, AR 72734",36.1795582,-94.6412028,
25,99,P7101,3881,Tyson,"Tyson Foods, Inc.",Arkansas,Large,Chicken,5.0,5.0,"301 East Cherry Street, Clarksville, AR 72830",35.473009,-93.457503,13852.0
29,103,M5842 + P5842 + V5842,3873,Tyson,"Tyson Foods, Inc.",Arkansas,Large,Chicken,5.0,5.0,"600 N. Berry Street, Springdale, AR 72762",36.1905228,-94.1254707,91143.0
31,105,P768 + V768,3841,Tyson,"Tyson Foods, Inc.",Arkansas,Large,Chicken,5.0,5.0,"442 Plant Street, Waldron, AR 72958",34.9042542,-94.1019632,
32,106,P7632,5333,Foster Farms,Zorro Leasing LLC,California,Large,Chicken,5.0,5.0,"900 W. Belgravia, Fresno, CA 93706",36.7164767,-119.8229319,1117644.0
35,111,P935,2260,Harim Group,Allen Harim LLC,Delaware,Large,Chicken,5.0,5.0,"18752 Harbeson Road, Harbeson, DE 19951",38.720742,-75.2872434,
38,114,P1318,2267,Perdue,"Perdue Foods, LLC",Delaware,Large,Chicken,5.0,5.0,"255 N. Rehoboth Blvd., Milford, DE 19963",38.9222447,-75.42268969999999,
