,Unnamed: 0,EstNumber,EstID,Parent Corporation,Establishment Name,State,Size,Animals Processed,"Processed
Volume
Category","Slaughter
Volume
Category",Full Address,latitude,longitude,Sales Volume (Location)
0,71,P1317 + V1317,4495,Cargill,Wayne Farms LLC,Alabama,Large,Chicken,5,5,"700 McDonald Avenue, Albertville, AL 35950",34.2607264,-86.203222,438268
1,72,P7485 + V7485,4518,Cargill,Wayne Farms LLC,Alabama,Large,Chicken,5,5,"1020 County Road 114, Jack, AL 36346",31.5006282,-85.9034382,576660
2,73,P912,4493,Cargill,"Wayne Farms, LLC",Alabama,Large,Chicken,5,5,"444 Baskin Street  South, Union Springs, AL 36089",32.1391657,-85.721704,271713
3,74,P7342 + V7342,4516,Cargill,Wayne Farms LLC,Alabama,Large,Chicken,5,5,"808 Ross Clark Circle NE, Dothan, AL 36303",31.2257543,-85.3620677,243269
4,75,P1235,4509,Cargill,Wayne Farms LLC,Alabama,Large,Chicken,5,5,"254 Ipsco Road, Decatur, AL 35601",34.6076012,-87.0425955,8474
5,76,P17500,4526,JBS,Pilgrim's Pride Corporation,Alabama,Large,Chicken,5,5,"2045 Highway 244, Russellville, AL 35654",34.5078726,-87.7286431,150
6,77,P192,4501,JBS,Pilgrim's Pride Corporation,Alabama,Large,Chicken,5,5,"3500 Lake Guntersville Park Drive, Guntersville, AL 35976",34.3465877,-86.2821926,249109
7,78,P6638,4514,JBS,Pilgrim's Pride Corporation,Alabama,Large,Chicken,5,5,"4693 County Road 636, Enterprise, AL 36330",31.2555161,-85.9595721,471813
8,79,P6666,4515,Koch Foods,"Koch Foods of Gadsden, LLC",Alabama,Large,Chicken,5,5,"501 Paden Road, Gadsden, AL 35903",33.970439,-85.9724391,62722
9,80,P548,4506,Koch Foods,"JCG  Foods of Alabama, LLC",Alabama,Large,Chicken,5,5,"764 George Cagle Drive, Collinsville, AL 35961",34.2944769,-85.8814033,144992
10,81,P6529,4595,Koch Foods,"Koch Foods of  Montgomery, AL",Alabama,Large,Chicken,5,5,"3500 West Blvd., Montgomery, AL 36108",32.3284278,-86.3547844,62722
11,82,P1307,4567,Mar-Jac,Mar-Jac Poultry-AL,Alabama,Large,Chicken,5,5,"3301 3rd Avenue, Jasper, AL 35501",33.8180823,-87.2760356,83015
12,83,P6504,4496,Peco Foods,"Peco Foods, Inc.",Alabama,Large,Chicken,5,5,"3701 Reese Phifer Avenue, Tuscaloosa, AL 35401",33.1778663,-87.5614466,337625
13,84,M20322 + P20322,4783,Tyson,"Keystone Foods, LLC.",Alabama,Large,Chicken,5,5,"57 Melvin Clark Road, Baker Hill, AL 36027",31.8063853,-85.31985,14829
14,85,P559,4491,Tyson,"Tyson Foods, Inc.",Alabama,Large,Chicken,5,5,"6600 Hwy. 431 South, Albertville, AL 35950",34.2512489,-86.2361744,16436
15,86,M17250 + P6 + V6,4485,Tyson,"Tyson Foods, Inc.",Alabama,Large,Chicken,5,5,"67240 Main Street, Blountsville, AL 35031",34.0520968,-86.5754186,96468
16,87,P165S + V165S,3850,Bachoco,"OK Foods, Inc.",Arkansas,Large,Chicken,5,5,"3921 Reed Lane, Fort Smith, AR 72904",35.424274,-94.3852974,16680
17,88,P1009,3858,Cargill,Wayne Farms LLC,Arkansas,Large,Chicken,5,5,"2301 East 8th Street, Danville, AR 72833",35.081411,-93.41853,2732
18,90,P46091,126027,George's,"Ozark Mountain Poultry, Inc.",Arkansas,Large,Chicken,5,5,"1810 St. Louis Street, Batesville, AR 72501",35.7652697,-91.641319,14743.5
19,91,P208 + V208,3851,George's,"George's Processing, Inc.",Arkansas,Large,Chicken,5,5,"1306 North Kansas St, Springdale, AR 72764",36.198322,-94.1398959,0
20,92,P705,3856,JBS,Pilgrim's Pride Corporation,Arkansas,Large,Chicken,5,5,"401 South 3rd Street, DeQueen, AR 71832",34.0336675,-94.3401007,225824
21,93,P45483,127044,Peco Foods,"Peco Foods, Inc.",Arkansas,Large,Chicken,4,5,"4114 Highway 67 South, Pocahontas, AR 72455",36.2137042,-90.9583373,337625
22,94,P468,3852,Peco Foods,"Peco Foods, Inc.",Arkansas,Large,Chicken,5,5,"625 South Allen, Batesville, AR 72501",35.7645792,-91.6484427,675250
23,95,P1949,6164265,Simmons Foods,"Simmons Prepared Foods, Inc.",Arkansas,Large,Chicken,5,5,"9802 S. Hwy 59, Gentry, AR 72734",36.1795582,-94.6412028,15466
24,98,P72,3846,Tyson,"Tyson Foods, Inc",Arkansas,Large,Chicken,5,5,"1291 N Hwy. 7, Dardanelle, AR 72834",35.216772,-93.1602106,504317
25,99,P7101,3881,Tyson,"Tyson Foods, Inc.",Arkansas,Large,Chicken,5,5,"301 East Cherry Street, Clarksville, AR 72830",35.473009,-93.457503,13852
26,100,M112 + P112,3847,Tyson,"Tyson Foods, Inc",Arkansas,Large,Chicken,5,5,"601 Tyson Drive, Green Forest, AR 72638",36.3309124,-93.4293292,1619035
27,101,P7156 + V7156,3883,Tyson,"Tyson Foods, Inc.",Arkansas,Large,Chicken,5,5,"275 County Road 278, Hope, AR 71801",33.7400849,-93.616054,223444
28,102,M13456 + P13456 + V13456,3901,Tyson,"Tyson Foods, Inc.",Arkansas,Large,Chicken,5,5,"5505 Jefferson Parkway, Pine Bluff, AR 71602",34.2642476,-92.0757124,256978
29,103,M5842 + P5842 + V5842,3873,Tyson,"Tyson Foods, Inc.",Arkansas,Large,Chicken,5,5,"600 N. Berry Street, Springdale, AR 72762",36.1905228,-94.1254707,91143
30,104,M7100 + P7100 + V7100,3880,Tyson,"Tyson Foods, Inc.",Arkansas,Large,Chicken,5,5,"100 East Cassady, Nashville, AR 71852",33.9273002,-93.8473993,1292472
31,105,P768 + V768,3841,Tyson,"Tyson Foods, Inc.",Arkansas,Large,Chicken,5,5,"442 Plant Street, Waldron, AR 72958",34.9042542,-94.1019632,222492
32,106,P7632,5333,Foster Farms,Zorro Leasing LLC,California,Large,Chicken,5,5,"900 W. Belgravia, Fresno, CA 93706",36.7164767,-119.8229319,1117644
33,108,P6137A,5309,Foster Farms,Foster Farms,California,Large,Chicken,5,5,"2960 Cherry St., Fresno, CA 93706",36.6937303,-119.7839271,1117644
34,109,M6137 + P6137,5308,Foster Farms,Foster Farms,California,Large,Chicken,5,5,"843 Davis St., Livingston, CA 95334",37.3917386,-120.7267325,134871
35,111,P935,2260,Harim Group,Allen Harim LLC,Delaware,Large,Chicken,5,5,"18752 Harbeson Road, Harbeson, DE 19951",38.720742,-75.2872434,114909
36,112,M667 + P667,2249,Mountaire,Mountaire Farms Inc.,Delaware,Large,Chicken,5,5,"55 Hosier St., Selbyville, DE 19975",38.4607194,-75.2277601,0
37,113,P3,2214,Mountaire,"Mountaire Farms of Delaware, Inc.",Delaware,Large,Chicken,5,5,"29005 John J Williams Highway, Millsboro, DE 19966",38.5977287,-75.2593339,46698
38,114,P1318,2267,Perdue,"Perdue Foods, LLC",Delaware,Large,Chicken,5,5,"255 N. Rehoboth Blvd., Milford, DE 19963",38.9222447,-75.4226897,17315
39,115,P2178,2278,Perdue,PERDUE FOODS LLC,Delaware,Large,Chicken,5,5,"20621 Savannah Road, Georgetown, DE 19947",38.6980472,-75.3820922,17315
40,116,P2632,60,JBS,Pilgrim's Pride Corporation,Florida,Large,Chicken,5,5,"19740 US Hwy 90 West, Live Oak, FL 32064",30.3709814,-83.159205,233110
41,117,P32182,9808,Cargill,"Sanderson Farms, Inc.",Georgia,Large,Chicken,5,5,"700 Hwy 133 South, Moultrie, GA 31788",31.1587054,-83.7453125,231341
42,118,P170,8,Cargill,Wayne Farms,Georgia,Large,Chicken,5,5,"977 Wayne Poultry Road, Pendergrass, GA 30567",34.176954,-83.6715558,31982
